,s.game,,,,,,,,playing,Views,followers,,,,,,,,
31242131088,Grand Theft Auto V,3,0,0,0,2018-11-14T22:19:03Z,bostonbronx92,bostonbronx92,FIFA 19,246,72,Boston c'Ì¬,it,it,,2018-09-27T06:49:54Z,2018-11-14T22:19:04Z,FALSE,FALSE
31241965760,,3,720,30,0,2018-11-14T22:03:55Z,BadSnip3r,badsnip3r,IRL,2768,174,What to play what to play,en,en,,2012-12-17T20:23:41Z,2018-11-14T22:03:53Z,FALSE,FALSE
31241768240,,3,540,30,0,2018-11-14T21:46:04Z,Calirex23,calirex23,IRL,19159,569,Hey Boosted Gamer BTW,en,en,,2015-07-12T02:09:37Z,2018-11-14T21:46:05Z,FALSE,FALSE
31241766192,Rocket Leagueå¨,3,720,29.97003,0,2018-11-14T21:45:54Z,DriftAU,driftau,Rocket League,171,10,Just casual tings -_-,en,en,,2018-03-03T09:55:17Z,2018-11-14T22:18:23Z,FALSE,FALSE
31241692096,PLAYERUNKNOWN'S BATTLEGROUNDS,3,720,60,0,2018-11-14T21:39:08Z,BergsBrew,bergsbrew,Just Chatting,7048,237,squad memes,en,en,,2015-08-08T19:20:40Z,2018-11-14T22:12:51Z,TRUE,FALSE
31241557648,,3,720,60,0,2018-11-14T21:27:06Z,ChiriChan,chirichan,Creative,2326,223,Merch HYPE! Working on Hoodie/Sweatshirt Design !raffle,en,en,,2013-08-10T02:35:46Z,2018-11-14T21:34:41Z,TRUE,FALSE
31241483264,,3,720,30,0,2018-11-14T21:20:08Z,QualifiedSin,qualifiedsin,IRL,258,62,Trying to figure out how to Twitch correctly!,en,en,,2017-06-11T00:50:56Z,2018-11-14T21:44:34Z,TRUE,FALSE
31241477024,,3,360,26.996626,0,2018-11-14T21:19:34Z,ricklegnerweatherwatcher,ricklegnerweatherwatcher,IRL,112,30,"Wintry Mix Movin In...11/14/18...NO SOUND",en,en,,2017-08-25T14:19:32Z,2018-11-14T21:34:17Z,FALSE,FALSE
31241134288,,3,720,30,0,2018-11-14T20:49:18Z,hkezza,hkezza,Creative,3912,171,Aye Aye Aye - Here we Go and draw again--#digital,en,en,,2012-02-10T04:44:46Z,2018-11-14T21:01:37Z,TRUE,FALSE
31241028352,RimWorld,3,720,30,0,2018-11-14T20:39:48Z,Yoke_Gaming,yoke_gaming,Stardew Valley,1339,66,[GER/ENG] Farmer auf Hochtouren,de,de,,2018-08-31T09:22:55Z,2018-11-14T22:19:23Z,FALSE,FALSE
